ticket_id,title,description,category,resolution,priority,
TKT-1870,Malicious macro,Antivirus blocked excel file.,Security,Deleted payload and ran full scan.,Critical,
TKT-1871,Kubelet PLEG healthy,Node flapping.,Infrastructure,Evicted noisy neighbor pod.,High,
TKT-1872,Change Slack email,Name changed.,Access Management,Updated email in Slack admin console.,Low,
TKT-1873,React IE11 blank,White screen.,Application,Added react-app-polyfill.,Medium,
TKT-1874,MongoDB peering dropped,Cannot connect to Atlas.,Network,Re-accepted VPC peering request.,Critical,
TKT-1875,Java pod OOMKilled,Spring Boot crashing.,Application,Set JVM max heap size.,High,
TKT-1876,Error 404,Got 404.,Application,Escalated to human triage.,Low,
TKT-1877,Phishing test fail,Clicked the fake link.,Security,Enrolled user in mandatory training.,Low,
TKT-1878,RDS backup hanging,Snapshot stuck.,Storage,Increased allocated storage.,High,
TKT-1879,Forgot Mac PIN,Cannot log into Macbook.,Access Management,Reset password using FileVault key.,Medium,
TKT-1880,MongoDB index missing,Search timing out.,Database,Created compound text index.,High,
TKT-1881,NFS mount hang boot,Server hangs on boot.,Storage,Added _netdev to fstab.,Medium,
TKT-1882,Need Canva Pro,Need for marketing.,Access Management,Added user to Canva team.,Low,
TKT-1883,BGP route not advertising,Subnet unreachable.,Network,Added network statement to BGP.,High,
TKT-1884,Suspicious outbound,Traffic to Russian IP.,Security,Blocked port 22 and shut down VM.,Critical,
TKT-1885,Kafka consumer rebalancing,Constantly rebalancing.,Application,Increased session.timeout.ms.,High,
TKT-1886,Docker Hub rate limit,Cannot pull images.,Infrastructure,Configured Docker with service account.,Medium,
TKT-1887,Database password expired,App logs say expired.,Database,Set app_user password to never expire.,High,
TKT-1888,Phone cord cut,Cord is broken.,Infrastructure,Replaced handset cord.,Low,
TKT-1889,App stopped working,Was working yesterday.,Application,Escalated to human triage.,Low,
TKT-1890,SAML invalid signature,Okta SSO failing.,Access Management,Uploaded new SP metadata XML.,High,
TKT-1891,EBS performance degraded,High IO latency.,Storage,Upgraded volume to io1.,Critical,
TKT-1892,Missing emails inbox,Emails are gone.,Application,Deleted rogue Outlook rule.,Medium,
TKT-1893,Need SSMS installed,Need SQL studio.,Access Management,Pushed SSMS package.,Low,
TKT-1894,Cannot query Snowflake,Role does not have usage privileges.,Database,Granted USAGE on warehouse.,Medium,
TKT-1895,Phishing email,Got an email claiming my W2 is ready.,Security,Blocked sender domain.,Low,
TKT-1896,S3 bucket too large,Bucket grown to 50TB.,Storage,Implemented S3 Lifecycle rule to Glacier.,Medium,
TKT-1897,VPN split tunneling,Cannot reach home printer.,Network,Updated VPN profile to allow split tunneling.,Low,
TKT-1898,Jenkins agent disconnected,Agent went offline.,Infrastructure,Restarted Jenkins remoting service.,High,
TKT-1899,Access denied Confluence,Need license to view space.,Access Management,Provisioned Confluence license.,Low,
TKT-1900,Postgres relation missing,Table user_sessions missing.,Database,Ran Flyway migrate on prod.,Critical,
TKT-1901,Kafka partition leader,Partition has no leader.,Infrastructure,Restarted broker and triggered preferred election.,High,
TKT-1902,Need help,It is broken.,Application,Escalated to human triage.,Low,
TKT-1903,Malware on desktop,Defender found trojan.,Security,"Isolated machine, confirmed false positive.",Medium,
TKT-1904,Redis maxmemory reached,Cache evicting items.,Database,Increased ElastiCache node size.,Critical,
TKT-1905,React hook error,Rendered more hooks.,Application,Moved hook to top level of component.,Medium,
TKT-1906,Cannot connect NAS,Windows cannot map drive.,Storage,Reset expired AD password.,Medium,
TKT-1907,BGP session dropped,Peering went down.,Network,Session auto-recovered after 30 seconds.,Critical,
TKT-1908,Need local admin,Need admin for Docker.,Access Management,Granted temporary admin via LAPS.,Low,
TKT-1909,Pod crashlooping,Pod keeps restarting.,Application,Added STRIPE_SECRET_KEY to manifest.,High,
TKT-1910,Spam calls VoIP,Getting robocalls.,Network,Implemented STIR/SHAKEN policy.,Low,
TKT-1911,Database connection timeout,NodeJS throwing ETIMEDOUT.,Database,App reconnected after minor version upgrade.,High,
TKT-1912,Accidental data deletion,Deleted critical folder.,Storage,Restored folder from VSS snapshot.,High,
TKT-1913,AWS MFA lost,Dropped phone in lake.,Access Management,Revoked old MFA and issued bypass code.,High,
TKT-1914,Nginx returning 504,Gateway timeout.,Network,Scaled up backend ECS tasks.,Critical,
TKT-1915,Fix this,Please fix my computer.,Infrastructure,Escalated to human triage.,Low,
TKT-1916,GitHub Actions stuck,Pipeline queued.,Infrastructure,Cleared old Docker images on runner.,High,
TKT-1917,Need Visio license,Manager approved.,Access Management,Assigned Visio Plan 2 license.,Low,
TKT-1918,MongoDB slow query,Find operation taking 12s.,Database,Added compound index.,High,
TKT-1919,Wifi password,What is guest wifi password.,Network,Emailed guest wifi password.,Low,
TKT-1920,React build failing,Out of memory webpack.,Application,Increased NODE_OPTIONS.,Medium,
TKT-1921,Suspicious login,Login from unfamiliar IP.,Security,User confirmed personal VPN.,Low,
TKT-1922,EBS volume degraded,High read latency.,Storage,Migrated EBS volume to gp3.,Critical,
TKT-1923,Forgot Jira password,Can't log in.,Access Management,Directed user to Okta SSO.,Low,
TKT-1924,MySQL replication stopped,Slave thread error.,Database,Skipped offending transaction.,High,
TKT-1925,Laptop won't charge,Battery draining.,Infrastructure,Dispatched replacement power adapter.,Medium,
